"","gene","target_score.x","target_score.y","target_score.x.1","target_score.y.1","target_score.x.2","target_score.y.2","target_score.x.3","target_score.y.3","target_score.x.4","target_score.y.4","score_avg"
"11470","P2RX4",-1.05,-1.96,-2.98,-1.71,-3.86,-1.81,-0.79,-2.17,-0.64,-1.67,-1.864
"11471","P2RX5",-2.17,-0.64,-3.38,-2.29,-2.57,-2.17,-2.92,-2.49,-1.94,-3.51,-2.408
"11472","P2RX5.TAX1BP3",-0.87,-0.47,-1.06,-0.9,-1.03,NA,-1.19,-1.38,-0.59,-0.4,-0.876666666666667
"11473","P2RX6",-0.17,-0.01,NA,-0.16,-0.2,-0.52,-0.37,-1.59,NA,NA,-0.431428571428571
"11474","P2RX7",-1.63,-2.02,-2.16,-1.3,-1.67,-1.32,-0.53,-1.89,-0.93,-2.55,-1.6
"11475","P2RY1",-2.32,-2.05,-0.97,-1.08,-0.86,-2.54,-1.24,-2.14,-0.9,-0.9,-1.5
"11476","P2RY10",-0.5,0.0499999999999998,-1.95,-0.359999999999999,-0.67,-1.21,-0.69,-0.88,-0.33,-0.859999999999999,-0.74
"11477","P2RY11",-1.8,-2.67,-2.36,-1.42,-0.87,-1.12,-1.49,-0.72,-1.77,-1.95,-1.617
"11478","P2RY12",-0.47,-1.54,NA,-1.54,-0.57,-0.26,-0.66,-3.49,NA,NA,-1.21857142857143
"11479","P2RY13",-1.94,-3.26,-4.36,-3.03,-3.98,-3.68,-2.9,-4.13,-3.66,-2.49,-3.343
"11480","P2RY14",-3.24,-3.39,-2.59,-2.45,-4.23,-3.5,-3.51,-4.7,-1.81,-2.38,-3.18
"11481","P2RY2",-0.57,-1.45,-0.33,-1.16,-0.68,-0.96,-0.59,-1.34,-1.78,-1.41,-1.027
"11482","P2RY4",NA,NA,NA,-0.17,NA,-0.83,NA,-0.67,NA,NA,-0.556666666666667
"11483","P2RY6",-3.75,-3.83,-1.27,-3.9,-3.83,-1.88,-3.17,-4.27,-2.21,-3.69,-3.18
"11484","P3H1",-0.9,NA,-0.82,NA,NA,-0.52,-0.66,-0.49,-0.82,-1.9,-0.872857142857143
"11485","P3H2",-1.22,NA,-2.87,NA,NA,-0.33,-0.64,-2.26,-0.09,-1.48,-1.27
"11486","P3H3",-0.64,NA,-1.35,NA,NA,-0.81,-0.58,-0.83,-0.19,-1.09,-0.784285714285714
"11487","P3H4",-1.08,NA,-1.2,NA,NA,-0.64,-1.51,-1.23,-0.69,-0.78,-1.01857142857143
"11488","P4HA1",-1.66,-0.99,-2.97,-1.22,-1.81,-1.75,-1.31,-2.24,-1.49,-1.43,-1.687
"11489","P4HA2",-1.32,-2.7,-1.39,-1.69,-1.76,-0.31,-0.58,-0.71,-0.43,-2.22,-1.311
"11490","P4HA3",-0.82,-1.42,-0.33,-1.82,-0.38,-0.72,-1.37,-1.49,-0.18,-1.03,-0.956
"11491","P4HB",-2.15,-1.59,-1.31,-1.07,NA,-1.65,-2.24,-2.93,-1.75,-2.25,-1.88222222222222
"11492","P4HTM",-0.56,-1.3,-0.47,-0.94,-0.58,-0.7,-0.47,-0.96,-0.86,-1.19,-0.803
"11493","PA2G4",-0.92,-0.56,-0.97,-0.63,-0.0300000000000002,-4.21,-0.0600000000000005,-0.51,-0.19,-0.34,-0.842
"11494","PAAF1",-0.25,-2.83,-0.66,-0.45,-0.42,-0.54,-0.75,-1.58,-0.22,-0.94,-0.864
"11495","PABPC1",-2.26,-1.34,-1.15,-1.36,-1.57,-2.27,-0.91,-2.07,-1.44,-2.14,-1.651
"11496","PABPC1L",-0.09,-1.41,-1.06,-1.05,-0.53,-0.62,0.11,-2.92,-1.31,-1.07,-0.995
"11497","PABPC1L2A",NA,-0.02,NA,-0.12,NA,-0.26,NA,NA,NA,NA,-0.133333333333333
"11498","PABPC1L2B",NA,NA,NA,-0.07,NA,-0.21,NA,NA,NA,NA,-0.14
"11499","PABPC3",-1.23,-0.03,-2.76,-0.12,-1.87,-1.61,-0.9,-0.29,-1.22,NA,-1.11444444444444
"11500","PABPC4",-1.14,-1.43,-1.44,-1.56,-2.3,-1.33,-1.9,-2.95,-2.3,-3.1,-1.945
"11501","PABPC4L",-0.17,-0.16,-0.12,-0.31,0,-0.4,NA,-0.16,NA,NA,-0.188571428571429
"11502","PABPC5",-0.11,-0.76,NA,-0.19,NA,-0.32,-0.01,-0.01,NA,NA,-0.233333333333333
"11503","PABPN1",-0.6,-0.78,-1.04,-0.36,-2.25,-0.76,-0.48,-3.26,-0.5,-1.46,-1.149
"11504","PABPN1L",-0.11,0,NA,-0.06,NA,-0.12,-0.14,-0.31,NA,NA,-0.123333333333333
"11505","PACRG",-0.15,-0.28,NA,-0.36,-0.12,-0.75,-0.05,-0.57,NA,NA,-0.325714285714286
"11506","PACRGL",-0.72,-2.29,-1.05,-1.49,-0.6,-1.2,-0.69,-1.66,-0.23,-1.87,-1.18
"11507","PACS1",-1.76,-0.66,-1.25,-0.63,-0.910000000000001,-0.0399999999999996,-1.32,-1.68,-0.59,-3.45,-1.229
"11508","PACS2",-2.96,-1.29,-1.41,-0.97,-0.4,-1.01,-0.64,-0.77,-0.51,-2.13,-1.209
"11509","PACSIN1",-0.83,-1.43,-0.67,-1.08,-0.99,-1.29,-0.68,-0.3,-0.5,NA,-0.863333333333333
"11510","PACSIN2",-1.05,-1.07,-2.59,-1.32,NA,-1.97,-1.21,-1.67,-1.72,-1.87,-1.60777777777778
"11511","PACSIN3",-1.3,-1.09,-1.15,-1.08,-0.56,-0.61,-0.55,-0.67,-0.05,-0.17,-0.723
"11512","PADI1",0,-0.02,NA,-0.05,0,-0.64,-0.02,-0.51,NA,NA,-0.177142857142857
"11513","PADI2",-0.91,-2.7,-4.2,-1.12,-2.22,-2.45,-1.54,-2.43,-1.01,-1.3,-1.988
"11514","PADI3",-0.05,NA,NA,-0.01,-0.02,-0.3,NA,-0.73,NA,NA,-0.222
"11515","PADI4",-1.88,-2.81,-4.12,-0.94,-1.08,-4.24,-2.2,-1.69,-3.05,-2.28,-2.429
"11516","PADI6",0,-0.07,NA,-0.48,-0.19,-0.6,-0.05,-2.73,NA,NA,-0.588571428571429
"11517","PAEP",-3.67,-0.02,NA,-1.46,-0.23,-1.54,-0.1,0,NA,NA,-1.00285714285714
"11518","PAF1",-0.54,-1.6,-1.43,-0.91,-0.19,-0.9,-0.36,-1.17,-0.53,-0.82,-0.845
"11519","PAFAH1B1",-0.1,-1.89,-0.72,-0.53,-1.48,-0.77,-0.0899999999999999,-0.55,-0.28,-1.72,-0.813
"11520","PAFAH1B2",-0.89,-0.94,-1.12,-0.65,-0.65,-0.64,-0.12,-0.47,-0.68,-1.27,-0.743
"11521","PAFAH1B3",0.0999999999999996,-0.94,-0.43,-0.93,-0.95,-0.29,-0.55,-0.81,-0.02,-0.8,-0.562
"11522","PAFAH2",-1.59,-1.84,-1.03,-1.81,-3.05,-1.66,-1.35,-2.39,-1.41,-0.93,-1.706
"11523","PAG1",-0.64,-1.79,-1.28,-0.58,-0.78,-1.17,-0.69,-1.68,-1.47,-1.56,-1.164
"11524","PAGE1",-0.08,NA,NA,-0.01,-0.51,0,NA,-6.31,NA,NA,-1.382
"11525","PAGE2",-0.02,-0.69,NA,-0.61,-0.3,NA,-0.83,-0.55,NA,NA,-0.5
"11526","PAGE2B",-0.14,-0.11,NA,-0.91,-0.68,0,-0.12,-0.45,NA,NA,-0.344285714285714
"11527","PAGE3",NA,-0.01,NA,NA,NA,-0.24,NA,-0.01,NA,NA,-0.0866666666666667
"11528","PAGE4",-0.04,NA,NA,-0.06,NA,-0.14,NA,-0.2,NA,NA,-0.11
"11529","PAGE5",-0.23,-0.76,NA,-1.53,-1.17,-0.1,-0.53,-1.66,-0.85,NA,-0.85375
"11530","PAH",NA,NA,NA,-0.37,NA,-0.81,-0.69,-2.81,NA,-2.34,-1.404
"11531","PAICS",-0.79,-0.46,-0.99,-0.36,NA,-0.84,-0.66,-2.14,-0.67,-1.05,-0.884444444444444
"11532","PAIP1",-1.01,-1.49,-0.62,-0.96,-0.95,-0.99,-0.56,-0.92,-0.41,-0.7,-0.861
"11533","PAIP2",-0.16,0,-0.49,0.0600000000000005,-0.15,-2.68,-0.0499999999999998,-0.19,-0.0299999999999994,-1.48,-0.517
"11534","PAIP2B",-2.99,-1.56,-0.99,-0.96,-1.38,-1.49,-1.9,-0.81,-3.05,-1.14,-1.627
"11535","PAK1",-4.47,-3.06,-3.53,-2.9,-3.81,-5.88,-3.56,-3.02,-3.19,-3.7,-3.712
"11536","PAK1IP1",-0.79,-1.25,-1,-0.15,-0.62,-1.04,-0.76,-1.53,-0.99,-1.17,-0.93
"11537","PAK2",-0.24,-0.68,-0.49,-0.35,-0.46,-0.199999999999999,-0.24,-1.34,-0.54,-1.59,-0.613
"11538","PAK3",-0.25,-0.05,-0.36,-0.58,-0.47,-0.23,-1.5,-1.14,-0.28,-0.81,-0.567
"11539","PAK4",-2.05,-1.12,-1.2,-0.39,-3.37,-3.06,-0.26,-0.48,-0.53,-1.82,-1.428
"11540","PALB2",-0.2,-0.59,-0.37,-0.98,-2.76,-0.01,-0.72,-1.72,-0.37,-0.93,-0.865
"11541","PALD1",-1.79,-2.43,-2.81,-2.92,-1.66,-3.09,-1.69,-2.33,-0.58,-0.83,-2.013
"11542","PALLD",-2.83,-2.16,-2.33,-1.07,-2.54,-2.39,-2.82,-1.94,-2.17,-2.23,-2.248
"11543","PALM",-1.73,-1.38,-1.28,-1.57,-0.17,-2.12,-0.28,-0.08,NA,-0.33,-0.993333333333333
"11544","PALM2",-0.09,-0.02,NA,-0.26,-0.42,-1.38,-0.37,NA,NA,-0.22,-0.394285714285714
"11545","PALM2.AKAP2",0,-0.18,NA,-0.12,NA,NA,-0.04,-2.83,NA,-1.45,-0.77
"11546","PALM3",-0.32,-0.03,NA,-0.14,-0.1,-0.65,-0.02,-0.26,NA,-0.46,-0.2475
"11547","PALMD",-4.71,-4.75,-0.96,-3.84,-0.22,-4.31,-1.46,-0.89,NA,-4.71,-2.87222222222222
"11548","PAM",-1.42,-1.38,-0.27,-0.61,-0.9,-1.12,0.0299999999999998,-1.31,-0.0399999999999998,0.129999999999999,-0.689
"11549","PAM16",-2.1,-1.47,-0.98,-0.72,NA,-0.89,-0.17,-0.82,-0.43,-1.26,-0.982222222222222
"11550","PAMR1",-0.6,-0.23,-0.13,-0.03,-0.19,-0.24,-0.14,-0.02,NA,-0.74,-0.257777777777778
"11551","PAN2",-1.01,-1.25,-1.16,-0.97,-5.12,-1.48,-0.97,-1.89,-0.56,-1.93,-1.634
"11552","PAN3",-1.39,-2.6,-0.76,-0.84,-0.97,-0.72,-0.34,-3.05,-1.85,-1.43,-1.395
"11553","PANK1",-1.17,-1.03,-1.17,-1.14,-2.6,-0.68,-0.84,-0.65,-0.33,-1.31,-1.092
"11554","PANK2",-0.12,-0.21,-0.64,-1.07,NA,-0.57,-0.32,-1.22,-0.0699999999999998,-0.72,-0.548888888888889
"11555","PANK3",-0.5,-0.65,-1.36,-0.76,-0.52,-0.57,-1.02,-1.68,-1,-1.21,-0.927
"11556","PANK4",-0.0699999999999998,-0.68,-1.12,-0.49,-0.84,-0.41,0.0700000000000001,-0.89,-0.19,-0.34,-0.496
"11557","PANO1",-0.28,NA,-0.54,NA,NA,-0.28,-0.95,-0.66,NA,NA,-0.542
"11558","PANX1",-1.06,-1.15,-0.78,-0.67,-1.84,-0.7,-0.19,-0.85,-0.38,-0.27,-0.789
"11559","PANX2",-0.95,0,-3.23,-0.34,-1.12,-2.17,-0.15,-0.15,NA,NA,-1.01375
"11560","PANX3",NA,0,NA,-0.23,-0.11,-0.3,NA,-0.21,NA,NA,-0.17
"11561","PAOX",-0.85,-1.42,-1.44,-1.17,-1.28,-0.76,-1.5,-2.29,-1.75,-1.51,-1.397
"11562","PAPD4",-0.34,-1.35,-1.05,-1.03,-0.46,-4.72,-0.42,-1.43,-1,-1.4,-1.32
"11563","PAPD5",-1.32,-1.35,-1.15,-0.71,-0.61,-1.98,-1.34,-2.09,-1.41,-1.25,-1.321
"11564","PAPD7",-0.94,-2,-0.69,-0.27,-0.51,-1.22,-0.98,-0.85,-0.39,-1.7,-0.955
"11565","PAPLN",-0.6,-2.94,-1.61,-1.22,-0.12,-0.36,-0.28,-0.89,NA,-1.33,-1.03888888888889
"11566","PAPOLA",0.0699999999999994,-0.26,-0.68,-0.54,-0.25,-0.21,-0.18,-0.62,-0.100000000000001,-1.03,-0.38
"11567","PAPOLB",-0.31,-0.18,NA,-0.14,-0.24,-0.3,-0.04,-0.06,NA,-0.01,-0.16
"11568","PAPOLG",-0.4,-1.09,-0.85,-1.32,-0.38,-1.05,0.01,-0.47,-0.39,-0.49,-0.643
"11569","PAPPA",-0.46,-0.22,-0.53,-0.34,-0.42,-1.37,-0.87,-0.51,-0.28,-0.17,-0.517
"11570","PAPPA2",0,-0.01,NA,-0.13,-0.21,-0.32,NA,-2.49,NA,NA,-0.526666666666667
"11571","PAPSS1",-0.74,-1.22,-1.33,-1.1,-1.48,-1.03,-0.99,-2.52,-0.81,-1.36,-1.258
"11572","PAPSS2",-2.99,-1.64,-3.21,-0.75,-1.35,-5.03,-1.7,-3.87,-2.16,-6.26,-2.896
"11573","PAQR3",-0.36,-0.87,-1.75,-0.51,-0.35,-0.2,-0.47,-1.44,-0.87,-1.15,-0.797
"11574","PAQR4",-0.38,-0.23,-0.43,-0.01,-1.7,-0.95,0.12,-2.22,-0.23,-0.2,-0.623
"11575","PAQR5",-1.84,-1.81,-3.68,-1.22,-0.17,-3.25,-1.45,-0.44,-0.74,-2.3,-1.69
"11576","PAQR6",-1.15,-0.66,-2.15,-1.17,-1.73,-0.23,-1.42,-1.58,-1.2,-1.43,-1.272
"11577","PAQR7",-1.53,-2.82,-1.27,-1.12,-1.14,-1.63,-1.15,-3.59,-1.33,-0.66,-1.624
"11578","PAQR8",-1.32,-1.74,-2.18,-1.06,-2.05,-1.41,-1.11,-1.86,-0.61,-0.88,-1.422
"11579","PAQR9",NA,NA,NA,-0.02,0,-0.29,-0.15,-0.16,NA,NA,-0.124
"11580","PARD3",-0.42,-1,-1.83,-0.32,-0.75,-7.39,-0.32,-0.55,NA,-2.3,-1.65333333333333
"11581","PARD3B",-0.54,-0.3,-0.68,-0.43,-0.31,-5.51,-0.48,-0.98,NA,-0.45,-1.07555555555556
"11582","PARD6A",-0.72,-2.67,-1.45,-0.24,-0.94,-0.22,-0.83,-0.19,-0.63,-0.97,-0.886
"11583","PARD6B",-1.37,-1.15,-1.78,-0.71,-2.25,-1.13,-0.61,-0.9,-0.92,-1.46,-1.228
"11584","PARD6G",-0.7,-0.36,-0.18,-0.67,-1.79,0.39,0.38,-0.57,-0.0299999999999999,-1.04,-0.457
"11585","PARG",-0.59,-1.63,-1.54,-1.1,-1.51,-0.79,0,-3.47,-0.22,-1.53,-1.238
"11586","PARK2",-0.27,-0.38,-1.17,-0.56,-0.6,NA,-0.31,-1.26,NA,-2.85,-0.925
"11587","PARK7",0.14,-1.19,-0.27,0.5,NA,0.2,0.44,-0.510000000000001,0.32,0.16,-0.0233333333333334
"11588","PARL",-2.26,-2.38,-0.71,-0.73,NA,-0.64,-0.64,-0.61,-0.71,-0.73,-1.04555555555556
"11589","PARM1",-3.14,-3.41,-1.94,-2.05,-3.94,-4.77,-3.35,-4.35,-3.02,-2.85,-3.282
"11590","PARN",-0.91,-0.83,-0.04,-0.25,-2.52,-0.79,-0.57,-0.95,-1.29,-1.84,-0.999
"11591","PARP1",-0.470000000000001,-0.46,-1.07,-1.2,-0.73,-0.32,-0.53,-1.35,-0.49,-0.67,-0.729
"11592","PARP10",0.0600000000000001,-1.52,-1.2,-0.64,-1.26,-0.47,-0.27,-1.76,-0.83,-0.99,-0.888
"11593","PARP11",-1.16,-0.72,-1.45,-1.14,-1.24,-1.79,-1.55,-1.51,-1.22,-2.12,-1.39
"11594","PARP12",-0.87,-1.61,-0.68,-0.36,-0.56,-5.25,-0.1,-1.26,-0.42,-1.21,-1.232
"11595","PARP14",-1.41,-1.48,-1.22,-1.17,-1.48,-1.29,-1.29,-2.31,-0.899999999999999,-1.55,-1.41
"11596","PARP15",-1.01,-1.65,-0.58,-2.24,-1.75,-1.93,-1.26,-3.09,-0.86,-2.09,-1.646
"11597","PARP16",-0.36,-2.62,-1.37,-0.53,-0.94,-0.64,-0.42,-1.1,-1.51,-2.18,-1.167
"11598","PARP2",-0.62,-2.52,-1.37,-1.66,-2.22,-0.95,-1.45,-2.41,-0.89,-1.44,-1.553
"11599","PARP3",-0.85,-2.2,-1.5,-1.24,-1.36,-1.28,-1.19,-1.06,-1.45,-2.14,-1.427
"11600","PARP4",-0.1,-0.73,-1.56,-0.5,0.0500000000000003,-1.9,-0.73,-1.18,-1.04,-1.31,-0.9
"11601","PARP6",-0.46,-4,-1.44,-0.53,-0.93,-0.66,-1.34,-0.48,-0.62,-1.95,-1.241
"11602","PARP8",-1.42,-2.43,-1.39,-1.45,-1.4,-1.29,-1.95,-2.06,-2.09,-1.96,-1.744
"11603","PARP9",-0.17,-0.28,-1.14,-0.64,-1.91,-1.35,-0.19,-0.86,-0.51,-0.31,-0.736
"11604","PARPBP",-0.21,-1.54,0.0399999999999999,-0.47,-0.03,-0.73,-0.69,-2.07,-0.0499999999999999,-1.06,-0.681
"11605","PARS2",-0.5,-0.33,-0.65,-1.13,NA,-0.6,-0.27,-1.59,-0.12,-1.89,-0.786666666666667
"11606","PARVA",-2.44,-1.73,-1.22,-1.88,-0.33,-2.57,-0.69,-0.31,NA,-1.8,-1.44111111111111
"11607","PARVB",-1.87,-1.51,-2.59,-0.99,-0.99,-1.9,-1.04,-0.98,-1.57,-1.75,-1.519
"11608","PARVG",-1.95,-1.12,-1.19,-1,-1.01,-1.11,-1.21,-0.52,-1.07,-1.25,-1.143
"11609","PASD1",NA,NA,NA,-0.08,-0.48,-0.39,NA,NA,NA,NA,-0.316666666666667
"11610","PASK",-3.37,-1.85,-1.97,-2.04,-2.39,-3.64,-2.37,-1.25,-3.26,-3.59,-2.573
"11611","PATE1",NA,-0.15,NA,-0.38,NA,-0.32,NA,-0.04,NA,NA,-0.2225
"11612","PATE2",0,-0.2,NA,-0.4,-0.31,-0.5,-0.03,-2.64,NA,NA,-0.582857142857143
"11613","PATE3",NA,NA,NA,-0.15,NA,0.02,NA,-0.01,NA,NA,-0.0466666666666667
"11614","PATE4",NA,-0.4,NA,-0.89,-0.02,-0.7,NA,NA,NA,-0.73,-0.548
"11615","PATL1",-0.82,-1.14,-0.52,-0.8,-0.41,-1.04,-0.22,-1.13,-0.24,-0.8,-0.712
"11616","PATL2",-1.76,-1.82,-1.98,-2.19,-1.73,-1.09,-0.69,-1.14,-2.51,-2.52,-1.743
"11617","PATZ1",-1.03,-3,-0.65,-0.98,-1.11,-0.79,-0.34,-3.82,-0.74,-1.06,-1.352
"11618","PAWR",-2.15,-0.42,-3.39,-1.92,-2.99,-1.8,-2.59,-2.14,-2.13,-1.97,-2.15
"11619","PAX1",NA,0,NA,-0.09,-0.06,-0.29,NA,-0.02,NA,NA,-0.092
"11620","PAX2",NA,-0.01,NA,-0.01,-0.04,-0.74,NA,NA,NA,NA,-0.2
"11621","PAX3",NA,-0.01,NA,-1.36,-0.58,-0.33,NA,-0.11,NA,NA,-0.478
"11622","PAX4",NA,NA,NA,-0.29,NA,-0.15,NA,-0.33,NA,NA,-0.256666666666667
"11623","PAX5",-2.61,-0.08,-5.57,-4.04,-4.96,-4.79,-3.58,-3.63,-4.44,-4.34,-3.804
"11624","PAX6",-0.15,-0.31,NA,-0.79,-0.28,-0.95,-0.26,-0.24,NA,-0.47,-0.43125
"11625","PAX7",NA,-0.1,NA,-0.03,-3.82,-0.25,NA,-0.32,NA,NA,-0.904
"11626","PAX8",-0.59,-0.71,-1.61,-0.55,-1.18,-2.14,-0.38,-0.67,-0.18,-1.53,-0.954
"11627","PAX9",-0.32,0,NA,-0.96,-0.1,-2.39,-0.11,0.01,NA,NA,-0.552857142857143
"11628","PAXBP1",-0.81,-0.51,-1.13,-1.3,-1.04,-1.23,-0.65,-1.02,-0.83,-1.2,-0.972
"11629","PAXIP1",-0.48,-2.12,-0.88,-0.56,-0.21,-1.04,-0.62,-0.71,-0.92,-0.79,-0.833
"11630","PBDC1",-0.29,-0.35,-0.74,-0.92,-0.28,-0.57,-0.0899999999999999,-0.98,-0.5,-0.87,-0.559
"11631","PBK",-0.72,-1.65,-1.05,-0.78,-0.81,-0.31,-1.26,-2.94,-1.3,-0.42,-1.124
"11632","PBLD",-0.35,-0.58,-1.33,-0.76,-0.62,-0.41,-0.42,-1.36,-0.17,-1.47,-0.747
"11633","PBOV1",-0.05,-0.15,NA,-0.66,-0.09,-0.64,NA,NA,NA,NA,-0.318
"11634","PBRM1",-2.66,-0.71,-1.3,-0.53,-0.79,-1.08,-0.32,-1.63,-0.47,-1.85,-1.134
"11635","PBX1",-3.33,-1.49,-4.09,-1.03,-0.41,-4.41,-1.98,-0.21,-3.45,-1.71,-2.211
"11636","PBX2",-1.02,-1.71,-2.42,-0.49,-0.89,-1.8,-0.74,-1.8,-1.06,-0.51,-1.244
"11637","PBX3",-2.13,-1.63,-2,-0.49,-1.87,-1.61,-0.46,-1.25,-1.19,-1.59,-1.422
"11638","PBX4",-1.53,-0.93,-0.5,-1.28,-1.71,-0.95,-1.24,-1.43,-0.55,-1.6,-1.172
"11639","PBXIP1",-1.61,-1.6,-1.17,-1.57,-1.34,-1.15,-0.9,-1.07,-1.47,-1.53,-1.341
"11640","PC",-2.05,-1.94,-1.41,-1.22,NA,-1.26,-0.79,-0.79,-0.08,-0.93,-1.16333333333333
"11641","PCBD1",-0.94,-1.37,-1.1,-0.77,-0.34,-1.82,-0.85,-2.09,-1.29,-3.22,-1.379
"11642","PCBD2",-0.76,-1.15,0.0199999999999998,-1.38,NA,-0.34,-1.17,-1.7,-1.11,-1.55,-1.01555555555556
"11643","PCBP1",-0.93,-2.25,-0.39,-0.57,-0.640000000000001,-0.65,-0.98,-1.3,-0.52,-0.67,-0.89
"11644","PCBP2",-0.619999999999999,-1.49,-0.67,-0.8,-0.75,-0.609999999999999,-0.27,-1.56,-0.32,-1.78,-0.887
"11645","PCBP3",-0.21,-1.4,-0.3,-0.88,-0.59,-0.47,-0.75,-1.14,-0.22,-2.24,-0.82
"11646","PCBP4",-0.15,-1.34,-1.09,-1.38,-0.73,-0.22,-0.47,-1.47,-0.57,-0.98,-0.84
"11647","PCCA",-0.69,-2.58,-1.48,-0.55,NA,-0.79,-0.44,-1.55,-0.61,-0.85,-1.06
"11648","PCCB",-1.78,-0.34,-1.22,-0.9,NA,-0.21,-1.3,-1.54,-0.88,-2.23,-1.15555555555556
"11649","PCDH1",-2.86,-2.43,-0.49,-2.53,-0.68,-3.07,-0.17,-0.45,-0.01,-1.6,-1.429
"11650","PCDH10",-0.38,-0.06,NA,-0.11,-0.12,-0.48,-0.21,-0.17,NA,NA,-0.218571428571429
"11651","PCDH11X",-0.16,-0.2,NA,-0.99,-0.54,-0.91,-0.22,-0.02,NA,-0.12,-0.395
"11652","PCDH11Y",-0.17,-0.25,NA,-0.94,-0.41,-0.52,-0.24,-2.34,-0.14,NA,-0.62625
"11653","PCDH12",-3.49,-2.63,-2.62,-2.63,-1.5,-3.89,-0.52,-2.43,NA,-1.37,-2.34222222222222
"11654","PCDH15",0,-0.74,NA,-0.37,-0.2,-0.52,NA,-0.28,NA,-0.19,-0.328571428571429
"11655","PCDH17",-5.34,-2.39,-0.7,-2.41,-0.51,-7.12,-0.88,-0.34,NA,-3.21,-2.54444444444444
"11656","PCDH18",-0.3,-0.42,-0.44,-0.12,-0.61,-1.3,-0.18,-0.35,NA,0,-0.413333333333333
"11657","PCDH19",-0.39,-0.15,-0.27,-0.07,-0.54,-0.44,NA,-0.03,NA,NA,-0.27
"11658","PCDH7",-0.17,-0.02,-0.27,-0.28,-0.42,-0.7,-0.02,-0.64,NA,-0.2,-0.302222222222222
"11659","PCDH8",-0.12,NA,NA,-0.02,NA,-0.3,-0.02,-0.04,NA,NA,-0.1
"11660","PCDH9",-3.23,-2.3,-3.47,-2.4,-2.63,-2.01,-3.89,-1.99,-2,-0.72,-2.464
"11661","PCDHA1",-0.62,NA,NA,-0.04,NA,-0.16,NA,-1.42,NA,NA,-0.56
"11662","PCDHA10",-0.06,-0.03,NA,-0.35,NA,-0.97,-0.04,-0.68,NA,-0.13,-0.322857142857143
"11663","PCDHA11",-0.05,-0.01,NA,-0.59,NA,-0.24,NA,-1.32,NA,NA,-0.442
"11664","PCDHA12",-0.04,0,NA,-0.01,NA,0,-0.23,-1.43,NA,NA,-0.285
"11665","PCDHA13",0,0,NA,-0.54,NA,-0.04,NA,-1.45,NA,NA,-0.406
"11666","PCDHA2",NA,-0.05,NA,-0.34,NA,-0.5,NA,-1.35,NA,NA,-0.56
"11667","PCDHA3",0,-0.17,NA,-0.39,NA,-1,NA,-1.18,NA,NA,-0.548
"11668","PCDHA4",-0.22,-0.34,NA,-1,NA,-0.85,NA,-0.76,NA,-0.46,-0.605
"11669","PCDHA5",0,0,NA,0,NA,-0.21,NA,-1.21,NA,NA,-0.284
"11670","PCDHA6",-0.02,-0.24,NA,-0.53,NA,-0.13,NA,-1.34,NA,NA,-0.452
"11671","PCDHA7",0,-0.31,NA,-0.24,NA,-0.11,NA,-1.39,NA,NA,-0.41
"11672","PCDHA8",NA,-0.07,NA,-0.02,NA,-0.05,NA,-1.44,NA,NA,-0.395
"11673","PCDHA9",-0.29,-0.15,NA,-0.63,-0.46,-0.42,NA,-0.95,NA,NA,-0.483333333333333
"11674","PCDHAC1",0,-0.04,NA,-0.06,NA,-0.16,NA,-1.23,NA,NA,-0.298
"11675","PCDHAC2",0,-0.06,NA,-0.07,-0.1,-0.9,NA,-1.34,NA,NA,-0.411666666666667
"11676","PCDHB1",-0.02,NA,NA,-0.18,NA,-0.71,NA,-0.02,NA,-0.1,-0.206
"11677","PCDHB10",-0.73,-1.43,-0.04,-1.29,-0.31,-1.01,-0.09,-0.3,NA,-0.19,-0.598888888888889
"11678","PCDHB11",-0.14,-0.82,-1.11,-0.4,0,-1.28,NA,-0.47,NA,-0.1,-0.54
"11679","PCDHB12",-0.34,-0.77,NA,-0.44,NA,-0.9,NA,-0.05,NA,NA,-0.5
"11680","PCDHB13",-0.4,-0.96,NA,-0.3,NA,-1.65,NA,-0.01,NA,-0.35,-0.611666666666667
"11681","PCDHB14",-1.22,-0.66,-0.5,-0.78,NA,-0.43,-0.03,-0.03,NA,-0.15,-0.475
"11682","PCDHB15",-0.33,-0.8,-0.04,-0.66,-0.11,-0.53,-0.05,-0.29,NA,-0.06,-0.318888888888889
"11683","PCDHB16",-1.12,-0.99,-0.21,-0.19,-0.07,-1.58,-0.02,-0.03,NA,-0.21,-0.491111111111111
"11684","PCDHB2",-0.58,-1.72,-0.45,-0.99,-0.3,-0.37,-0.24,-0.19,NA,-0.73,-0.618888888888889
"11685","PCDHB3",-0.65,-1.04,NA,-0.57,NA,-0.35,NA,-0.1,NA,NA,-0.542
"11686","PCDHB4",-0.95,-0.53,-0.45,-0.1,0,-1.98,-0.01,-0.06,NA,-0.34,-0.491111111111111
"11687","PCDHB5",-0.44,-0.44,NA,-0.73,-0.07,-0.41,-0.01,-0.1,NA,NA,-0.314285714285714
"11688","PCDHB6",-0.26,-0.07,NA,-0.03,NA,-0.66,NA,-0.01,NA,NA,-0.206
"11689","PCDHB7",-0.25,-0.8,-0.13,-0.31,-0.06,-0.75,NA,-0.01,NA,NA,-0.33
"11690","PCDHB8",-0.03,-0.4,NA,-0.28,-0.06,-0.53,-0.01,-1.11,NA,NA,-0.345714285714286
